"species" "yearbirth" "littersizebirth" "littersizeweaning" "sexratiobirth" "sexratioweaning" "survlitter48h" "survlitterweaning" "survlittersexmat" "agedam" "agemaxdam" "agesire" "agemaxsire"
"229" "Vrubra" 1984 3 2 0.333333333333333 0.5 0.666666666666667 0.666666666666667 0.666666666666667 7 11.63 6 10.44
"230" "Vrubra" 2013 2 2 0.5 0.5 1 1 1 12 14.69 13 15.7
"231" "Vrubra" 1993 2 2 1 1 1 1 1 9 20.44 9 27.93
"232" "Vrubra" 2007 1 1 1 1 1 1 1 4 12.67 12 20.66
"233" "Vrubra" 2000 2 2 0.5 0.5 1 1 1 3 18.73 4 17.16
"234" "Vrubra" 1989 2 1 0.5 0 0.5 0.5 0.5 6 10.51 6 10.5
"235" "Vrubra" 1994 2 2 1 1 1 1 1 7 28.52 9 30.52
"236" "Vrubra" 1989 1 1 0 0 1 1 1 11 14.51 6 29.9
"237" "Vrubra" 2008 3 1 0.333333333333333 0 0.333333333333333 0.333333333333333 0.333333333333333 18 18.32 18 21.28
"238" "Vrubra" 2005 2 0 1 NA 0 0 0 11 21.75 11 15.87
"239" "Vrubra" 1991 3 2 0.333333333333333 0.5 1 0.666666666666667 0.666666666666667 2 26.74 3 27.75
"240" "Vrubra" 2001 2 2 1 1 1 1 1 4 18.75 4 18.77
"241" "Vrubra" 1990 4 0 0.75 NA 0.25 0 0 7 20.89 16 18.72
"242" "Vrubra" 1988 2 1 1 1 0.5 0.5 0.5 5 10.51 5 10.5
"243" "Vrubra" 1998 3 0 0.666666666666667 NA NA NA NA 14 19.36 7 23.7
"244" "Vrubra" 2014 3 1 0.666666666666667 1 0.666666666666667 0.333333333333333 0 10 11.68 19 20.7
"245" "Vrubra" 2006 1 1 0 0 1 1 1 11 15.01 5 14.68
"246" "Vrubra" 2006 4 1 0.5 1 1 0.25 0.25 10 19.64 8 17.71
"247" "Vrubra" 2009 4 4 0.5 0.5 1 1 1 9 15.78 26 31.24
"248" "Vrubra" 1987 1 0 0 NA 1 0 0 5 6.79 3 14.25
"249" "Vrubra" 2013 2 2 0.5 0.5 1 1 1 4 6.76 13 15.7
"250" "Vrubra" 1990 2 0 0.5 NA 0.5 0 0 5 18.92 6 22.97
"251" "Vrubra" 2009 3 0 0.666666666666667 NA 0.666666666666667 0 0 6 12.61 4 10.64
"252" "Vrubra" 1988 1 1 0 0 1 1 1 6 30.42 10 34.51
"253" "Vrubra" 2004 2 2 0.5 0.5 1 1 1 7 18.63 14 21.04
"254" "Vrubra" 1999 1 1 0 0 1 1 1 16 29.96 16 22.31
"255" "Vrubra" 1993 1 1 0 0 1 1 1 20 22.65 5 6.69
"256" "Vrubra" 2005 1 0 1 NA 1 0 0 4 8.98 10 20.64
"257" "Vrubra" 2004 1 1 1 1 1 1 1 12 23.6 19 30.52
"258" "Vrubra" 1999 1 0 1 NA 0 0 0 14 18.92 15 22.97
"259" "Vrubra" 2012 2 2 0.5 0.5 1 1 1 9 12.61 7 10.64
"260" "Vrubra" 1990 1 1 1 1 1 1 1 8 30.42 5 30.52
"261" "Vrubra" 2006 1 1 1 1 1 1 1 8 17.73 18 27.75
"262" "Vrubra" 2008 2 0 1 NA 0.5 0 0 7 14.74 14 21.72
"263" "Vrubra" 2007 3 3 0.666666666666667 0.666666666666667 1 1 0.666666666666667 10 12.67 7 15.78
"264" "Vrubra" 2014 3 3 1 1 1 1 1 13 14.69 14 15.7
"265" "Vrubra" 1990 2 1 1 1 0.5 0.5 0.5 4 14.88 7 27.51
"266" "Vrubra" 1988 2 0 0.5 NA 0 0 0 6 6.79 4 14.25
"267" "Vrubra" 2011 1 0 1 NA 0 0 0 14 18.75 15 19.67
"268" "Vrubra" 1990 3 3 0.666666666666667 0.666666666666667 1 1 1 6 18.65 8 14.64
"269" "Vrubra" 2007 1 1 0 0 1 1 1 14 22.74 13 21.71
"270" "Vrubra" 1993 4 0 0.75 NA 0 0 0 11 30.42 8 30.52
"271" "Vrubra" 1998 1 0 0 NA 1 0 0 9 18.28 10 19.31
"272" "Vrubra" 1991 1 0 0 NA 1 0 0 7 20.44 7 27.93
"273" "Vrubra" 2004 3 0 0.666666666666667 NA 0.333333333333333 0 0 10 10.16 11 15.42
"274" "Vrubra" 1990 3 3 0 0 1 1 1 9 10.95 10 25.94
"275" "Vrubra" 1988 2 1 0.5 1 0.5 0.5 0.5 7 10.95 5 25.78
"276" "Vrubra" 2015 2 2 0.5 0.5 1 1 0 6 6.62 14 14.74
"277" "Vrubra" 2010 2 1 0 0 1 0.5 0.5 14 19.75 14 19.72
"278" "Vrubra" 1995 1 1 1 1 1 1 1 11 19.36 4 23.7
"279" "Vrubra" 1997 2 2 0 0 1 1 1 11 29.69 7 25.72
"280" "Vrubra" 1999 3 0 0.333333333333333 NA 1 0 0 3 19.75 3 19.72
"281" "Vrubra" 1980 1 1 1 1 1 1 1 19 35.79 5 20.13
"282" "Vrubra" 1991 1 1 0 0 1 1 1 4 28.52 6 30.52
